Score: 0.9213240742683411 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.502436637878418 -0.9115033149719238 -1.6375083923339844 1.7427561283111572 3.968799352645874 1.514512062072754 1.5720127820968628
Score: 0.7495078444480896 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.5921990871429443 2.5210626125335693 -1.7773082256317139 1.6325267553329468 3.9694738388061523 1.499658465385437 1.5569127798080444
Score: 0.18370161950588226 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.9765992164611816 -9.74984359741211 -1.5931549072265625 1.6169137954711914 3.7393276691436768 1.756276249885559 4.379932880401611
Score: 0.10196538269519806 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 23.109249114990234 -4.365520477294922 -1.6112309694290161 1.4549401998519897 3.822953701019287 1.460329532623291 1.156538963317871
Score: 0.09258180856704712 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.8235199451446533 -9.19627857208252 -1.6430743932724 1.5856841802597046 3.827390193939209 1.6332117319107056 4.748748302459717
Score: 0.08911144733428955 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 6.148340702056885 -3.953399896621704 -1.205000877380371 1.6917600631713867 4.165054798126221 1.7270969152450562 4.724048137664795
Score: 0.08401167392730713 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 23.887346267700195 -5.302748203277588 -1.4694246053695679 1.6008920669555664 3.967020034790039 1.4758306741714478 -0.046777065843343735
Score: 0.08135145157575607 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.510417938232422 -5.2713093757629395 -1.4732133150100708 1.5775189399719238 3.923811197280884 1.4470934867858887 -0.4138828217983246
Score: 0.07602985948324203 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.7811890840530396 -3.7352294921875 -1.4100892543792725 1.643180251121521 4.332242012023926 1.5651389360427856 3.198716640472412
Score: 0.07240283489227295 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 5.036692142486572 -4.850943088531494 -1.1251802444458008 1.636591911315918 4.077415943145752 1.536014199256897 -0.0733841061592102
Score: 0.07124654203653336 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.9675921201705933 -10.289335250854492 -1.5265089273452759 1.6138311624526978 3.7770493030548096 1.7891408205032349 4.556248188018799
Score: 0.061300888657569885 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.476694107055664 4.273767948150635 -1.9448415040969849 1.6850404739379883 3.9534988403320312 1.4703254699707031 1.715691328048706
Score: 0.05885789543390274 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.29540330171585083 6.557206153869629 -1.854841947555542 1.6516752243041992 3.9304521083831787 1.5625749826431274 4.864861488342285
Score: 0.05673954263329506 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 56.00025177001953 7.935241222381592 -1.9298977851867676 1.525628924369812 3.667191505432129 1.5673636198043823 4.578402519226074
Score: 0.05643155053257942 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 56.06697082519531 6.893038272857666 -2.068223237991333 1.6141222715377808 3.832160472869873 1.5671908855438232 4.756519317626953
Score: 0.05536986514925957 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.06448745727539 -5.2788310050964355 -1.5179744958877563 1.5860403776168823 3.989302635192871 1.453737497329712 2.5086867809295654
