Score: 0.9070014357566833 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.168567657470703 16.247377395629883 -1.808417797088623 1.7080010175704956 4.283575057983398 1.5047880411148071 1.5744106769561768
Score: 0.8492830395698547 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 38.47338104248047 15.679652214050293 -1.6916217803955078 1.6607922315597534 3.7863104343414307 1.4607253074645996 1.5919448137283325
Score: 0.5616448521614075 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.638973236083984 15.868547439575195 -1.5870623588562012 1.6464766263961792 3.8641135692596436 1.525718092918396 1.6011791229248047
Score: 0.26296988129615784 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.478675842285156 -9.171982765197754 -1.0463268756866455 1.5843157768249512 3.876309871673584 1.5457111597061157 1.629972219467163
Score: 0.21631304919719696 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.44394874572754 32.153839111328125 -1.9256559610366821 1.6097701787948608 3.799315929412842 1.4986121654510498 1.2597678899765015
Score: 0.18353621661663055 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.3619433641433716 11.665253639221191 -0.8036263585090637 1.5933319330215454 3.63767409324646 1.5358574390411377 4.6880693435668945
Score: 0.172790065407753 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.442352294921875 35.4321174621582 -2.474687337875366 1.6508293151855469 3.666612148284912 1.4604843854904175 -0.671614944934845
Score: 0.13517940044403076 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.06820906698703766 -0.49668967723846436 -1.5692486763000488 1.5970972776412964 3.631385326385498 1.522046446800232 4.829366683959961
Score: 0.13497285544872284 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.41745376586914 31.869962692260742 -2.468905210494995 1.6203454732894897 4.21945333480835 1.436036229133606 1.2270082235336304
Score: 0.1278456747531891 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.836959838867188 31.186813354492188 -2.440979242324829 1.6670143604278564 4.229156970977783 1.4836784601211548 1.5263700485229492
Score: 0.12406660616397858 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.550467491149902 24.77463150024414 -0.4148939847946167 1.5633748769760132 3.8256747722625732 1.4923027753829956 1.7685891389846802
Score: 0.12329261749982834 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.278087615966797 35.065608978271484 -2.455909252166748 1.6184879541397095 3.528926372528076 1.4457043409347534 4.362864971160889
Score: 0.12062769383192062 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 22.904787063598633 32.261688232421875 -2.7435684204101562 1.5461030006408691 3.5071165561676025 1.5054715871810913 -0.5963807106018066
Score: 0.11838427931070328 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 60.241127014160156 21.79274559020996 -1.1427075862884521 1.635703444480896 3.8233532905578613 2.089385509490967 4.780001640319824
Score: 0.10952311009168625 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.56472396850586 -11.68513298034668 -1.54940664768219 1.5005849599838257 3.356933116912842 1.4686001539230347 1.7897268533706665
Score: 0.10941717773675919 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.816673278808594 13.52804946899414 -1.3185640573501587 1.662774682044983 4.486265659332275 1.614848017692566 1.8816505670547485
Score: 0.10476319491863251 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.17271694540977478 -0.5012270212173462 -1.5693196058273315 1.6322755813598633 3.6792678833007812 1.5522874593734741 -0.2083388715982437
Score: 0.10362939536571503 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.64765739440918 35.27689743041992 -2.4631032943725586 1.6392920017242432 3.8319344520568848 1.452892780303955 0.6229579448699951
Score: 0.10068303346633911 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.5776481628418 13.42915153503418 -1.3446321487426758 1.6292705535888672 4.3702473640441895 1.6507220268249512 1.8826568126678467
Score: 0.1005546823143959 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.012941360473633 35.158321380615234 -2.5136661529541016 1.5760358572006226 3.5764646530151367 1.4307833909988403 -0.3106568157672882
Score: 0.1003977507352829 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 42.84158706665039 28.6811580657959 -2.035374641418457 1.739038109779358 4.019800662994385 1.5491098165512085 1.935469150543213
Score: 0.09613585472106934 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 60.74147033691406 19.264291763305664 -0.7608808279037476 1.5456438064575195 4.3604326248168945 1.5951303243637085 1.6906441450119019
Score: 0.09586422890424728 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.44279271364212036 -2.9972527027130127 -1.9118701219558716 1.5451699495315552 3.852369785308838 1.5116424560546875 -0.12800320982933044
Score: 0.0940515324473381 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.035720825195312 30.69832992553711 -2.390936851501465 1.6660690307617188 4.228330135345459 1.5252939462661743 1.9294606447219849
Score: 0.09177142381668091 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.988393783569336 -17.498432159423828 -1.2950804233551025 1.5291354656219482 3.3897626399993896 1.4396084547042847 3.1401641368865967
Score: 0.09147179871797562 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 26.735389709472656 32.70343780517578 -1.96779465675354 1.6555384397506714 4.001491546630859 1.4804071187973022 0.5460195541381836
Score: 0.09146706014871597 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.768386840820312 30.254642486572266 -1.423804521560669 1.6153560876846313 3.9653208255767822 1.533699870109558 1.0315756797790527
Score: 0.08917048573493958 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 17.164520263671875 -19.283138275146484 -1.742492437362671 1.5866807699203491 3.6018025875091553 1.476444959640503 0.20454652607440948
Score: 0.08839277923107147 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 35.1110954284668 -19.956912994384766 -1.2862597703933716 1.6309053897857666 3.9167673587799072 1.5211622714996338 2.06640887260437
Score: 0.08766146749258041 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.932209014892578 -14.779767990112305 -1.4813557863235474 1.6529340744018555 4.15533971786499 1.485642671585083 -0.24803663790225983
Score: 0.08646626770496368 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 4.296301364898682 12.154394149780273 -1.0139853954315186 1.6660232543945312 3.940739393234253 1.5483477115631104 2.782369613647461
Score: 0.08340965956449509 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 29.631725311279297 -30.049793243408203 -1.057023525238037 1.5717368125915527 3.694680690765381 1.4624403715133667 0.12980450689792633
Score: 0.07803182303905487 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.882806777954102 25.528030395507812 -0.4185950756072998 1.6167348623275757 3.676100730895996 1.4740227460861206 3.658229112625122
Score: 0.07759186625480652 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 42.406131744384766 29.564634323120117 -2.031651735305786 1.7655203342437744 3.862220048904419 1.507202386856079 0.48163941502571106
Score: 0.07725407928228378 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.14383286237716675 -1.032505750656128 -1.5964617729187012 1.5544497966766357 3.4984755516052246 1.4954355955123901 4.701596260070801
Score: 0.07489796727895737 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 22.063961029052734 -16.491100311279297 -1.3070969581604004 1.4987859725952148 3.6516833305358887 1.4340583086013794 4.487765312194824
Score: 0.07476522773504257 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.590389251708984 34.22984313964844 -2.466233253479004 1.6248067617416382 3.629185438156128 1.4979814291000366 -0.6004478931427002
Score: 0.07442984730005264 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.71696090698242 37.907752990722656 -1.730207920074463 1.8176231384277344 4.3822526931762695 1.675723671913147 3.4557390213012695
Score: 0.07381885498762131 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.731303334236145 -0.2661339342594147 -1.626268982887268 1.6033744812011719 3.7852399349212646 1.5081748962402344 3.634453535079956
Score: 0.0728534609079361 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.273051261901855 -11.022037506103516 -1.5274733304977417 1.517795443534851 3.943108081817627 1.5061826705932617 2.5822129249572754
Score: 0.0727422907948494 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.781367301940918 -31.568832397460938 -2.331563711166382 1.6395601034164429 3.869525671005249 1.5499035120010376 4.738003730773926
Score: 0.07255755364894867 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 21.510587692260742 -14.689974784851074 -1.4971221685409546 1.651560664176941 4.267883777618408 1.4772874116897583 -0.3485196530818939
Score: 0.07175648212432861 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 35.0456657409668 -19.402372360229492 -1.3998730182647705 1.6108282804489136 3.7108428478240967 1.4948796033859253 1.8405067920684814
Score: 0.07103618234395981 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.9251130819320679 -5.963198184967041 -1.8732481002807617 1.921210527420044 4.631164073944092 1.6446548700332642 2.9332809448242188
Score: 0.07031238824129105 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.254255771636963 11.758844375610352 -0.8640549778938293 1.7122894525527954 4.323225975036621 1.679776668548584 2.0230367183685303
Score: 0.06926696747541428 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.6985108852386475 12.076480865478516 -0.9383572936058044 1.6735509634017944 4.199628829956055 1.6384661197662354 2.682817220687866
Score: 0.06771201640367508 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 41.88401794433594 29.605955123901367 -1.9533241987228394 1.758128046989441 4.015285015106201 1.520603895187378 1.0059269666671753
Score: 0.06744381040334702 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 32.84519577026367 -30.27351188659668 -1.129607081413269 1.6456196308135986 3.919084072113037 1.5374056100845337 0.013492314144968987
Score: 0.06681899726390839 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 41.539886474609375 34.48960494995117 -1.3942043781280518 1.601011872291565 3.9135258197784424 1.5584135055541992 1.1409894227981567
Score: 0.0652264729142189 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.16878890991211 24.53463363647461 -0.4536248445510864 1.5973578691482544 3.5668365955352783 1.5131155252456665 0.4209039509296417
Score: 0.06449434161186218 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.355348587036133 -12.264265060424805 -1.3154339790344238 1.5427247285842896 3.5275187492370605 1.4857898950576782 1.3333102464675903
Score: 0.0644785463809967 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 42.98754119873047 32.48586654663086 -0.8792469501495361 1.6238421201705933 3.65474009513855 1.5228819847106934 1.3401422500610352
Score: 0.0643468052148819 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 66.55656433105469 21.35813331604004 -0.894725501537323 1.6246662139892578 3.930527448654175 1.5192999839782715 4.634265899658203
Score: 0.0639483779668808 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.43230152130127 24.238170623779297 -0.3552436828613281 1.601828932762146 3.8188178539276123 1.539486050605774 1.05179762840271
Score: 0.06386663764715195 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 15.921979904174805 -11.319849014282227 -1.4159386157989502 1.6008504629135132 3.8746840953826904 1.5228350162506104 4.408956527709961
Score: 0.06380734592676163 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.10781273245811462 -1.3411115407943726 -1.5943739414215088 1.6206066608428955 3.6562602519989014 1.5388189554214478 3.559563159942627
Score: 0.06292767077684402 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.7945805788040161 -25.616174697875977 -1.3918462991714478 1.6235277652740479 4.326022148132324 1.4799678325653076 0.8006613850593567
Score: 0.06237200275063515 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 41.74300765991211 28.945926666259766 -1.9751293659210205 1.6619819402694702 3.6224300861358643 1.5144431591033936 1.9934332370758057
Score: 0.06221344321966171 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.02097487449646 11.16269588470459 -0.8919685482978821 1.572898268699646 3.656881093978882 1.5118601322174072 1.465503215789795
