Score: 0.43907442688941956 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 58.90502166748047 16.50963020324707 -1.5749597549438477 1.632750153541565 4.049999237060547 1.4709012508392334 1.5722393989562988
Score: 0.3715772330760956 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 29.63210678100586 -7.016495704650879 -1.4104260206222534 1.5544487237930298 3.6086697578430176 1.4458847045898438 4.802945613861084
Score: 0.3302792012691498 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 39.66582489013672 19.992265701293945 -1.7783191204071045 1.5731724500656128 3.6992225646972656 1.509765386581421 1.6129398345947266
Score: 0.2698557376861572 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.838998794555664 32.23134994506836 -2.4636693000793457 1.7162389755249023 3.992499351501465 1.5354833602905273 1.076094627380371
Score: 0.22668614983558655 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.297809600830078 35.01141357421875 -2.1639647483825684 1.5973747968673706 3.481779098510742 1.5631842613220215 4.8869428634643555
Score: 0.1722775101661682 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.64613151550293 -8.321221351623535 -1.2470329999923706 1.6342912912368774 4.139649391174316 1.4898205995559692 0.04707252234220505
Score: 0.15400491654872894 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.748302459716797 25.49182891845703 -1.949155569076538 1.5625488758087158 3.9821462631225586 1.4621042013168335 1.8059602975845337
Score: 0.13865342736244202 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.86421585083008 29.255369186401367 -1.2244623899459839 1.7253388166427612 4.159304618835449 1.6671125888824463 5.1135640144348145
Score: 0.13849548995494843 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.969911813735962 31.180879592895508 -2.3546509742736816 1.7290455102920532 3.7198519706726074 1.4394923448562622 1.2861160039901733
Score: 0.12365753948688507 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 58.6008186340332 16.998775482177734 -1.5818167924880981 1.5889694690704346 3.787029504776001 1.479506254196167 1.4081813097000122
Score: 0.11751960963010788 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.209312438964844 27.0750732421875 -1.784891128540039 1.6273294687271118 3.563800096511841 1.474660873413086 2.9292068481445312
Score: 0.11657465994358063 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.200374603271484 31.303640365600586 -2.595689296722412 1.7247709035873413 4.0022783279418945 1.5335817337036133 1.1758356094360352
Score: 0.1162925511598587 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.40721130371094 28.729108810424805 -1.2577683925628662 1.7145823240280151 4.2027587890625 1.6619118452072144 -0.48461881279945374
Score: 0.11505115777254105 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.026493191719055176 -1.0435609817504883 -1.6776052713394165 1.6080849170684814 3.740900993347168 1.5186164379119873 4.721220016479492
Score: 0.11387626081705093 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 56.36753845214844 20.985958099365234 -1.8492798805236816 1.677412986755371 4.326310157775879 1.9147789478302002 1.3180522918701172
Score: 0.10593487322330475 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 17.90622901916504 26.635047912597656 -2.3599376678466797 1.64110267162323 3.883577823638916 1.4782638549804688 1.8481169939041138
Score: 0.1057337298989296 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.178739547729492 -6.932030200958252 -1.6024982929229736 1.5446245670318604 3.455188751220703 1.5992175340652466 1.7025212049484253
Score: 0.10176163166761398 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 39.715965270996094 20.514251708984375 -1.8133132457733154 1.6138315200805664 3.9586563110351562 1.5011886358261108 1.3555421829223633
Score: 0.1012548878788948 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.72823143005371 32.31144332885742 -2.208192825317383 1.6868116855621338 3.989354133605957 1.5399798154830933 -0.46643581986427307
Score: 0.10041768848896027 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 33.54669189453125 32.02098846435547 -1.099311351776123 1.6887190341949463 3.7950332164764404 1.5690083503723145 3.0936427116394043
Score: 0.09871315956115723 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.75425720214844 24.890071868896484 -1.6618767976760864 1.5646013021469116 3.9323172569274902 1.4474101066589355 1.5758918523788452
Score: 0.09780916571617126 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 53.655738830566406 31.064577102661133 -1.9191020727157593 1.7209726572036743 4.4452009201049805 1.8538299798965454 0.4775957465171814
Score: 0.09641450643539429 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 57.784263610839844 16.25025177001953 -1.6616051197052002 1.6198314428329468 3.7691915035247803 1.5100021362304688 1.5584375858306885
Score: 0.092168428003788 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 36.271385192871094 -3.369434118270874 -1.578050136566162 1.5375990867614746 3.689272165298462 1.4130659103393555 4.610471725463867
Score: 0.09075618535280228 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.5816448330879211 30.615110397338867 -1.7157089710235596 1.6526485681533813 4.0581440925598145 1.6329772472381592 1.2329394817352295
Score: 0.08903349190950394 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.888273239135742 30.191898345947266 -2.356689929962158 1.6427452564239502 3.773733139038086 1.4949743747711182 1.9743143320083618
Score: 0.08599590510129929 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.163783073425293 27.355175018310547 -2.4123165607452393 1.6200908422470093 3.933671236038208 1.5276403427124023 1.3866864442825317
Score: 0.08598402142524719 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.93541145324707 29.27435874938965 -1.7631621360778809 1.662685751914978 4.176759719848633 1.5372459888458252 1.5587527751922607
