Score: 0.3085605204105377 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.020795822143555 3.750368118286133 -1.5569912195205688 0.44683942198753357 1.6623897552490234 1.6372158527374268 1.226550817489624
Score: 0.2173258662223816 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.239742279052734 -4.5464887619018555 -1.0671346187591553 0.3610406816005707 1.628617286682129 1.7131167650222778 4.6843461990356445
Score: 0.15589632093906403 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 38.64210510253906 2.653724431991577 -2.124389171600342 0.4447547495365143 1.746597409248352 1.7164394855499268 5.139099597930908
Score: 0.10135630518198013 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.403993606567383 3.0945119857788086 -1.494956135749817 0.3400200307369232 1.662926435470581 1.7281607389450073 4.7686662673950195
Score: 0.09006642550230026 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.183948516845703 3.6952998638153076 -1.5708391666412354 0.5282488465309143 1.7178778648376465 1.5687968730926514 0.36764925718307495
Score: 0.08559688925743103 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.09377670288086 -4.6430230140686035 -1.170758605003357 0.33811166882514954 1.6096539497375488 1.7220770120620728 4.7351531982421875
Score: 0.08090616017580032 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 31.912321090698242 -4.443953514099121 -1.55387544631958 0.6336479187011719 0.698830783367157 1.8010820150375366 2.5799641609191895
Score: 0.07914545387029648 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.566883087158203 2.197932004928589 -0.5722507834434509 0.4161127805709839 1.6799981594085693 1.7065191268920898 5.082997798919678
Score: 0.07529289275407791 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.25605010986328 3.31115984916687 -1.6632059812545776 0.3832607865333557 1.691325068473816 1.7011595964431763 4.571117401123047
Score: 0.07264808565378189 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.227725982666016 3.4089624881744385 -1.625071406364441 0.4977175295352936 1.7529245615005493 1.644139051437378 3.2779271602630615
Score: 0.0722203478217125 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.11449933797121048 2.6418612003326416 -0.964593231678009 0.6671456694602966 1.6993869543075562 1.7065776586532593 0.034010302275419235
Score: 0.06741980463266373 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 30.2874755859375 -4.407574653625488 -1.0643609762191772 0.5911160707473755 0.7086447477340698 1.771665096282959 2.9140493869781494
Score: 0.0660117119550705 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 7.941977500915527 -3.4277122020721436 -1.677161455154419 0.6884803771972656 0.541674792766571 1.564828634262085 1.5860702991485596
Score: 0.06477121263742447 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.051410675048828 3.517298936843872 -1.6533260345458984 0.4003159999847412 1.682911992073059 1.7357627153396606 4.458374977111816
Score: 0.06444711238145828 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 38.30229187011719 -4.537458419799805 -1.3602157831192017 0.49950286746025085 0.586844801902771 1.6884064674377441 2.5476653575897217
Score: 0.06345879286527634 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.07136917114258 -4.482320308685303 -1.1162937879562378 0.372041791677475 1.6373399496078491 1.7429288625717163 4.482616424560547
Score: 0.05961482971906662 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.35924243927002 3.934913158416748 -1.8317575454711914 0.44073835015296936 1.6345151662826538 1.6577969789505005 1.7224003076553345
Score: 0.0574757382273674 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 32.657161712646484 1.513108253479004 -0.5497302412986755 0.5837365984916687 1.5769708156585693 1.7664166688919067 1.933313012123108
Score: 0.05725264921784401 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.076904296875 3.6159346103668213 -1.6391552686691284 0.4853367507457733 1.231249451637268 1.4487884044647217 1.0790984630584717
Score: 0.05615472048521042 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.502699851989746 -2.7932052612304688 -1.4120280742645264 0.5373834371566772 1.8166813850402832 1.7914427518844604 1.7777831554412842
Score: 0.05573883280158043 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.292003631591797 3.4618632793426514 -1.6858904361724854 0.38020429015159607 1.7125136852264404 1.736758828163147 4.659927845001221
Score: 0.05253409594297409 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.478281021118164 2.086233615875244 -0.6795340180397034 0.40981000661849976 1.7123750448226929 1.7028167247772217 5.030268669128418
Score: 0.05239935591816902 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.125575065612793 -3.704702854156494 -1.657084345817566 0.5785409808158875 1.7937418222427368 1.654052972793579 1.9408131837844849
