Score: 0.7737314701080322 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 6.602814197540283 -6.028902053833008 -1.6384882926940918 0.5270297527313232 1.4652657508850098 1.7647532224655151 4.532464981079102
Score: 0.46316227316856384 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 6.512925624847412 -6.030232906341553 -1.503968358039856 0.6333596706390381 0.9713612794876099 1.615614891052246 3.7506608963012695
Score: 0.29683005809783936 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.400863647460938 -16.493152618408203 -1.3405925035476685 0.569892942905426 1.8347119092941284 1.7290619611740112 3.309152364730835
Score: 0.23994195461273193 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 30.1163272857666 -13.11450481414795 -0.9002379179000854 0.6661475896835327 0.7013386487960815 1.8116499185562134 1.6686426401138306
Score: 0.13526800274848938 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.22677767276763916 12.086630821228027 -1.127626657485962 0.5983717441558838 1.7411279678344727 1.6259573698043823 0.37845537066459656
Score: 0.10633520036935806 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.472270011901855 -15.250243186950684 -1.0288591384887695 0.45128583908081055 1.7123433351516724 1.6952543258666992 5.123363494873047
Score: 0.10086601972579956 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 32.37820053100586 -10.929911613464355 -0.9832423329353333 0.6414898037910461 1.5618401765823364 1.7754498720169067 3.079089879989624
Score: 0.09960268437862396 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 32.28202438354492 -10.688268661499023 -0.8474854230880737 0.7411592602729797 0.7432178854942322 1.7653123140335083 2.2981295585632324
Score: 0.08701896667480469 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 6.787712097167969 -6.117307662963867 -1.7012100219726562 0.5886715054512024 0.9631787538528442 1.6431357860565186 1.5450257062911987
Score: 0.0834672674536705 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.106096267700195 -10.935356140136719 -0.5944968461990356 0.5488361120223999 1.7594537734985352 1.7916815280914307 3.0463361740112305
Score: 0.07410774379968643 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 6.612975597381592 -6.063446521759033 -1.5444825887680054 0.5874053835868835 1.5173348188400269 1.695379614830017 3.4281744956970215
Score: 0.07404948025941849 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 44.034515380859375 -8.562058448791504 -1.011042833328247 0.44195982813835144 1.6486796140670776 1.7458504438400269 4.640562057495117
Score: 0.0700240209698677 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.04749896004796028 -5.8359880447387695 -1.4349157810211182 0.6183738112449646 1.7297762632369995 1.789142370223999 3.3100082874298096
Score: 0.06844768673181534 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 5.656829357147217 8.977743148803711 -1.5800659656524658 0.6958599090576172 0.621790885925293 1.786033272743225 3.8963463306427
Score: 0.06685370206832886 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 31.431554794311523 -16.114933013916016 -0.9081224203109741 0.6161463260650635 0.5506693720817566 1.7631686925888062 3.115880250930786
Score: 0.0656406506896019 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 35.421451568603516 -10.808372497558594 -0.662369430065155 0.3814585506916046 1.6064494848251343 1.7374311685562134 4.068812847137451
Score: 0.0651167631149292 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.305532455444336 -16.181169509887695 -1.1114792823791504 0.5678786039352417 1.7602834701538086 1.7963945865631104 0.06707926094532013
Score: 0.06508538872003555 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 32.37223434448242 -10.88227653503418 -0.6959699392318726 0.667134702205658 1.1321948766708374 1.7550551891326904 1.8549258708953857
Score: 0.06261461973190308 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 32.39331817626953 -10.719649314880371 -0.8705263137817383 0.6051891446113586 1.4388704299926758 1.7080048322677612 1.9498975276947021
Score: 0.06211467832326889 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 43.37013244628906 -10.484376907348633 -1.3354846239089966 0.49100029468536377 1.8212239742279053 1.7186315059661865 1.338854432106018
Score: 0.06188792362809181 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.10443826764822006 -0.7865487933158875 -1.2151648998260498 0.6810539960861206 1.849182367324829 1.7220726013183594 0.23533742129802704
Score: 0.06046918034553528 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 33.84952926635742 -18.202716827392578 -1.2025957107543945 0.5576421022415161 1.6336146593093872 1.6424609422683716 2.138664484024048
Score: 0.05921172723174095 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.441207885742188 -15.791342735290527 -1.071671962738037 0.5195100903511047 1.7067217826843262 1.7775452136993408 -0.23104214668273926
Score: 0.05919913947582245 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 6.330172061920166 -5.918252944946289 -1.514784812927246 0.6062453389167786 1.2132582664489746 1.7663962841033936 3.4225616455078125
Score: 0.058652084320783615 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 30.144161224365234 -12.997145652770996 -0.9565720558166504 0.6283968091011047 1.1803919076919556 1.856019377708435 1.7126317024230957
Score: 0.056658871471881866 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.605606079101562 -15.220176696777344 -1.0393699407577515 0.48284438252449036 1.7126823663711548 1.684625267982483 4.789943695068359
Score: 0.055023856461048126 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 5.293857574462891 -14.005510330200195 -0.8731361031532288 0.42696383595466614 1.7539935111999512 1.7178605794906616 5.0147385597229
Score: 0.053528714925050735 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 44.163028717041016 -8.707283020019531 -1.143683671951294 0.40657803416252136 1.6785690784454346 1.724151849746704 4.802229881286621
Score: 0.0530255027115345 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.684473037719727 -14.465725898742676 -1.6280875205993652 0.4851849377155304 1.7922307252883911 1.6939443349838257 4.830693244934082
