Score: 0.29919007420539856 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.87166690826416 17.634267807006836 -0.46209633350372314 2.0397937297821045 4.810268402099609 1.7881416082382202 0.0008360320935025811 9.516548016108572e-05 1.6367219686508179
Score: 0.29885876178741455 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -13.470367431640625 3.341223955154419 0.512691080570221 1.9925379753112793 4.660794734954834 1.93060302734375 -0.00048782015801407397 -0.009655863977968693 1.3852609395980835
Score: 0.2895798683166504 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 2.142894744873047 29.693796157836914 0.3212692439556122 2.048537492752075 4.878445148468018 1.7437903881072998 -3.765645850695165e-10 -3.114462909792337e-09 -1.5138731002807617
Score: 0.23920202255249023 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 26.086782455444336 17.663414001464844 -0.6313276886940002 2.022779703140259 4.738332748413086 1.729958415031433 -3.765645850695165e-10 -3.114462909792337e-09 1.4732786417007446
Score: 0.22739377617835999 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 2.7160284519195557 14.774993896484375 -0.7159329056739807 1.8415447473526 4.295356750488281 1.585733413696289 -3.765645850695165e-10 -3.114462909792337e-09 -3.07812762260437
Score: 0.22260458767414093 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 11.067538261413574 32.182228088378906 0.3689844608306885 1.8778834342956543 4.365854740142822 1.6625231504440308 -3.765645850695165e-10 -3.114462909792337e-09 -1.572646141052246
Score: 0.21491432189941406 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 22.44036102294922 17.60176658630371 -0.6333791613578796 1.9385672807693481 4.500397205352783 1.6738872528076172 -3.765645850695165e-10 -3.114462909792337e-09 -1.6728875637054443
Score: 0.21430759131908417 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 17.130224227905273 13.92934799194336 -1.1637998819351196 2.133467674255371 4.937966823577881 1.874521017074585 -3.765645850695165e-10 -3.114462909792337e-09 2.5036070346832275
Score: 0.21393118798732758 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -12.17591667175293 -15.388163566589355 -1.6497200727462769 1.9700398445129395 4.480831146240234 1.747137427330017 -3.765645850695165e-10 -3.114462909792337e-09 -0.004389738664031029
Score: 0.2123173177242279 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 12.229241371154785 39.291259765625 1.1904296875 1.9712889194488525 4.637016773223877 1.7610888481140137 -3.765645850695165e-10 -3.114462909792337e-09 1.4638187885284424
Score: 0.1845460683107376 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 8.104378700256348 35.71046829223633 0.8663358092308044 1.8234246969223022 4.306331157684326 1.6449092626571655 -3.765645850695165e-10 -3.114462909792337e-09 -2.3509750366210938
