Score: 0.10848721116781235 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.75054244995117 -3.556060628890991 -1.0014445781707764 1.6674124002456665 0.77840895652771 1.637006402015686 4.717947006225586
Score: 0.10664156079292297 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.01734924316406 -2.964708089828491 -0.9755381345748901 1.8971608877182007 3.1095292568206787 1.6171599626541138 4.024474620819092
Score: 0.08537498116493225 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 41.8206787109375 23.80038833618164 -1.3802680969238281 2.187168598175049 3.599977731704712 2.053551197052002 4.463325023651123
Score: 0.08287882059812546 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.00183868408203 -4.061452865600586 -0.8441852927207947 1.6946907043457031 3.0464208126068115 1.7797213792800903 4.947823524475098
Score: 0.0797809287905693 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 59.56043243408203 22.573768615722656 -1.7190312147140503 1.8659807443618774 3.190878391265869 2.0233981609344482 4.651210308074951
Score: 0.07896601408720016 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.21766662597656 -3.5114972591400146 -1.1755666732788086 1.6453205347061157 3.0059289932250977 1.87224543094635 3.4613711833953857
Score: 0.07285349816083908 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 59.4232292175293 23.195697784423828 -1.6635140180587769 2.369706153869629 4.064187049865723 2.111321449279785 4.512643814086914
Score: 0.06908412277698517 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 41.92014694213867 22.761995315551758 -1.6527422666549683 2.27485728263855 3.9502546787261963 2.16277813911438 4.95130729675293
Score: 0.0686735063791275 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.882633209228516 -2.3725297451019287 -0.8881614208221436 2.1113669872283936 3.817842721939087 1.8516623973846436 3.9098806381225586
Score: 0.06853420287370682 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.877689361572266 -3.4900782108306885 -1.098895788192749 1.1239763498306274 1.7457473278045654 1.7396893501281738 3.705876111984253
Score: 0.06609763205051422 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.75463104248047 -4.726528644561768 -0.9162634611129761 1.8753910064697266 4.096516132354736 2.024242401123047 5.276056289672852
Score: 0.06546131521463394 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.8669548034668 -3.8909032344818115 -1.159320592880249 0.9826319813728333 1.844561219215393 1.7545205354690552 3.7549376487731934
Score: 0.0634678453207016 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 59.70948028564453 21.905956268310547 -1.752908706665039 1.8682186603546143 3.5871646404266357 2.064483404159546 5.233555793762207
Score: 0.06266369670629501 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 42.18671798706055 -9.398346900939941 -1.8247933387756348 2.5635321140289307 5.599895000457764 2.488351345062256 4.511606216430664
Score: 0.05950649827718735 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.79664611816406 22.013975143432617 -1.9472126960754395 2.4929141998291016 4.4289984703063965 2.219374418258667 4.642044544219971
Score: 0.05699555203318596 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.8897590637207 -3.9780080318450928 -1.0494822263717651 2.0595576763153076 4.0861053466796875 2.108269691467285 -0.1860312521457672
Score: 0.05496776103973389 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.610713958740234 -4.3848490715026855 -1.370551586151123 0.8278226256370544 1.6989413499832153 1.7372490167617798 -0.1513419896364212
Score: 0.051571864634752274 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 41.932594299316406 24.529420852661133 -1.2530994415283203 2.9656150341033936 4.908544063568115 2.232692003250122 4.137609958648682
Score: 0.05155611410737038 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.60922622680664 -3.683259963989258 -1.2230875492095947 1.1171156167984009 1.9000133275985718 1.807584524154663 -0.13735385239124298
Score: 0.050499994307756424 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 36.2678108215332 -0.3073512315750122 -1.8269108533859253 1.8533390760421753 3.6457347869873047 2.153320789337158 4.7445783615112305
Score: 0.05027388036251068 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 59.02076721191406 22.892669677734375 -2.003392457962036 2.567599296569824 4.492166042327881 2.1065473556518555 3.3007850646972656
