Score: 0.9424673914909363 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.762755393981934 6.140080451965332 -1.2822750806808472 2.065889835357666 4.248227596282959 1.9052999019622803 4.3986897468566895
Score: 0.7616528272628784 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 19.739215850830078 -17.37900161743164 -0.4829467535018921 2.189868927001953 3.3104889392852783 2.0797996520996094 1.1545826196670532
Score: 0.20865404605865479 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.845787048339844 -2.8032681941986084 -0.983920693397522 0.43151769042015076 0.5035678744316101 1.7805571556091309 -0.5833155512809753
Score: 0.1611057072877884 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.696548461914062 -2.3199915885925293 -1.085932731628418 0.4198051989078522 0.4970099925994873 1.784162163734436 -0.7573011517524719
Score: 0.15597394108772278 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.52566909790039 -3.108052968978882 -1.0756282806396484 0.42002251744270325 0.5214564204216003 1.7846218347549438 -0.6165462136268616
Score: 0.1477910727262497 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 22.409997940063477 -16.40237045288086 -0.26332080364227295 1.1252923011779785 1.0457228422164917 1.6861817836761475 0.20148003101348877
Score: 0.12637139856815338 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 18.493131637573242 -2.9577136039733887 -1.266084909439087 0.4466117322444916 0.47306618094444275 1.8074471950531006 -0.6292202472686768
Score: 0.11916722357273102 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 18.171432495117188 -3.2760448455810547 -1.205384612083435 0.4385100305080414 0.509941041469574 1.764552116394043 -0.6798404455184937
Score: 0.10878591239452362 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.16942024230957 -2.6480815410614014 -1.2057316303253174 0.4720882475376129 0.5148106217384338 1.7669132947921753 5.492049694061279
Score: 0.0870262011885643 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 9.632302284240723 -8.703848838806152 -2.0992250442504883 0.5873907208442688 1.2146953344345093 1.7866253852844238 4.997043609619141
Score: 0.07108691334724426 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 23.929471969604492 -15.423482894897461 -1.2708765268325806 0.6177815198898315 0.4010591208934784 1.6930406093597412 4.862522602081299
Score: 0.062359441071748734 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 15.776161193847656 4.8802313804626465 -1.0492808818817139 0.5340424180030823 0.5292701721191406 1.5765949487686157 1.5922225713729858
Score: 0.06033124029636383 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 23.61294174194336 -14.302727699279785 -1.228754997253418 0.5961110591888428 0.3873607814311981 1.6179513931274414 5.2123122215271
Score: 0.05814701318740845 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 17.86050796508789 -3.584474802017212 -1.1771490573883057 0.4054933786392212 0.47790250182151794 1.787940263748169 -0.24642619490623474
Score: 0.05739603191614151 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 33.302040100097656 -8.74898910522461 -1.0723071098327637 2.520789861679077 6.926614284515381 4.457042694091797 0.47595956921577454
Score: 0.056689269840717316 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 23.930768966674805 -14.629066467285156 -1.3017066717147827 0.6087539792060852 0.3946889042854309 1.6835168600082397 4.956355094909668
Score: 0.056139636784791946 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 23.92565155029297 -16.059526443481445 -1.2456241846084595 0.6117664575576782 0.3858547806739807 1.7005854845046997 5.065676689147949
Score: 0.886512041091919 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.842310905456543 6.104245662689209 -1.2724790573120117 1.9554417133331299 4.347809791564941 2.018702983856201 4.401041030883789
Score: 0.07931291311979294 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.381627082824707 -20.839277267456055 -0.5272166728973389 2.1903209686279297 2.4817731380462646 1.1879240274429321 -0.34279799461364746
Score: 0.07357525080442429 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.671907424926758 -16.1876163482666 -0.8125770092010498 2.0843446254730225 2.4063782691955566 1.2987180948257446 1.534106969833374
